          18
 Energy:  -72.1725937000000     
 N   0.4713900      0.5634600       2.537760    
 N    2.355790       1.749720      7.1479999E-02
 N    1.940070       2.751720     -0.2283400    
 N    2.010230       5.507640      3.5250001E-02
 N    2.009050       5.309210       1.142190    
 N    1.936620       2.991980       4.995380    
 N    3.058770       2.993590       4.994140    
          18
 Energy:  -82.3643371000000     
 X  0.0000000E+00  0.0000000E+00  0.0000000E+00
 X   14.50000      0.0000000E+00  0.0000000E+00
 X  0.0000000E+00   14.50000      0.0000000E+00
 X  0.0000000E+00  0.0000000E+00   14.50000    
 X   14.50000       14.50000      0.0000000E+00
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
 X   14.50000       14.50000       14.50000    
 N  -9.8520003E-02 -1.3250000E-02 -0.5467100    
 N   0.9269400     -0.5003400     -0.5593000    
 N   0.4811600       13.93697       2.549970    
 N   0.4709200      0.5614800       2.544850    
 N    2.366810       1.749540      7.5630002E-02
 N    1.937110       2.746910     -0.2351500    
 N    2.010830       5.518340      3.8640000E-02
 N    2.009540       5.315580       1.142940    
 N    1.936690       2.991540       4.995220    
 N    3.058530       2.993220       4.993900    
          18
 Energy:  -82.3880696000000     
 X  0.0000000E+00  0.0000000E+00  0.0000000E+00
 X   14.50000      0.0000000E+00  0.0000000E+00
 X  0.0000000E+00   14.50000      0.0000000E+00
 X  0.0000000E+00  0.0000000E+00   14.50000    
 X   14.50000       14.50000      0.0000000E+00
 X   14.50000      0.0000000E+00   14.50000    
 X  0.0000000E+00   14.50000       14.50000    
 X   14.50000       14.50000       14.50000    
 N  -9.5030002E-02 -1.9040000E-02 -0.5599300    
 N   0.9091900     -0.5157000     -0.5750100    
 N   0.4797100       13.94093       2.563810    
 N   0.4700600      0.5578300       2.557940    
 N    2.387150       1.749230      8.3290003E-02
 N    1.931660       2.738040     -0.2477000    
 N    2.011940       5.538080      4.4890001E-02
 N    2.010440       5.327340       1.144330    
 N    1.936810       2.990740       4.994930    
 N    3.058080       2.992550       4.993460    
          18
 Energy:  -82.4143896000000     
